Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
58606033-cb15-39dc-8256-69137adc32d3,df6473cf-a70b-3401-b1ac-8d213ab31d86,Liberty95 Kihn564,F,GENERAL PRACTICE,230 WEST 17TH STREET,NEW YORK,NY,100115325,42.130417,-76.83194599565286,1053,0
ebd6358c-2e4d-3645-8291-5007de552585,553c4438-8662-3733-9f31-7242eacb69eb,Krystyna791 Kessler503,F,GENERAL PRACTICE,918 JAMES ST,SYRACUSE,NY,132032500,43.057120850000004,-76.13756448367403,2,0
64ca3cbb-3d02-3ac9-b7aa-06caba8e2083,6e967931-7b2d-334b-bf00-5b72d1fd7705,Marlin805 Hane680,M,GENERAL PRACTICE,391 PELHAM RD,SOMERS,NY,105892811,41.3281498,-73.6856857,71,0
dc7c6caf-4030-37b6-8086-bf4d915e5533,53c6274b-9a34-3c94-8d51-7363c2c57c86,Paz9 Gerlach374,F,GENERAL PRACTICE,4802 10TH AVE,BROOKLYN,NY,112302651,40.6395376,-73.99883299885667,240,0
12d8e649-8194-3f1c-ab44-835521b2562f,1da9eea8-e9f4-3d58-a309-db38d523c60f,Antonia30 Schiller186,M,GENERAL PRACTICE,585 SCHENECTADY AVE,BROOKLYN,NY,112031891,40.6598206,-73.93322119462563,1,0
7a3422ff-e82d-3db1-9912-d78d23e10379,f367c0d0-069d-3303-be67-d6e9df230b53,Soila394 Reichert620,F,GENERAL PRACTICE,801 GAZZOLA DR,EAST PATCHOGUE,NY,117724900,40.7829153,-72.971287,28,0
c2717a69-1df8-3efb-8c4c-65a7418ab273,000f52d2-1726-3ec5-92c1-e8768cc280f0,Lupe126 Conroy74,M,GENERAL PRACTICE,6 MEDICAL PLAZA,GLEN COVE,NY,115422108,40.874044299999994,-73.62375415012554,6,0
91cc747b-b18c-3bcb-a613-61ce85e5a126,1097897f-7025-3f4b-8f3a-a81085f14ff0,Ernest565 Wilkinson796,M,GENERAL PRACTICE,356 W 18TH ST,NEW YORK,NY,100114401,40.743056800000005,-74.00318348270332,52,0
fcfba9bc-6a45-3870-a48b-b9ee089c132f,95ad675a-5851-3de7-941b-654d088ba6de,Blair400 Muller251,M,GENERAL PRACTICE,1004 MAIN ST,FISHKILL,NY,125243509,41.5320688,-73.9054837,22,0
88d386fd-412c-3781-9ba8-94918bfe8883,1a889af5-b516-3d84-961c-0b7d679b238c,Jean712 Tillman293,M,GENERAL PRACTICE,16418 NORTHERN BLVD,LONG ISLAND CITY,NY,111015967,40.7622052,-73.8038213,1,0
f8aa2ef3-8131-3c01-aacd-b4b10e59ff90,a210bfb2-38d2-3f6f-9a96-15684cfa8293,Kelley882 Huels583,M,GENERAL PRACTICE,102 MAIN STREET,PORT JEFFERSON STATION,NY,117771856,40.934561,-73.054637,3,0
4e2fd8e0-58ba-39a8-9a64-970fa628653a,f5286660-db06-3e64-8b0a-bc71ab43001f,Eloisa55 Lucero848,F,GENERAL PRACTICE,1456 FULTON STREET,BROOKLYN,NY,112162505,40.679927115384615,-73.9425095,8,0
9686242c-d562-3c5e-a98b-c8f77478a6bb,db6bb5d7-e45f-3e16-a7b8-405657831146,Meryl421 Padberg411,F,GENERAL PRACTICE,405 CANDLEWOOD COMMONS,WOODMERE,NY,115981233,40.6320482,-73.7126314,38,0
